Ingreso_Exportacion_USD,Gasto_Insumos_Importados_USD,Periodo_Contable
2313.343669117625,1364.436019951956,2025-01-01
1961.6328746294919,1167.496641861944,2025-01-02
2300.1450902764095,1345.5751124516219,2025-01-03
1859.592374178727,1178.230838566119,2025-01-04
2141.6412127148833,1409.2825105372046,2025-01-05
2363.2120338637883,1341.061197716662,2025-01-06
2150.7544055490835,1299.8914306756394,2025-01-07
2217.417417158883,1382.8257818405693,2025-01-08
2253.365169898925,1411.0316420194147,2025-01-09
2168.7453013682557,1316.131092050746,2025-01-10
1960.9775977031934,1168.3896339007717,2025-01-11
1947.8802630685607,1041.88359910515,2025-01-12
2462.638305259318,1248.1689549952644,2025-01-13
2110.0657303789,1245.0785897009814,2025-01-14
2198.8979565131585,1258.5118549322544,2025-01-15
2173.598262630154,1226.1619895787999,2025-01-16
2051.6104594326366,1169.1667136738713,2025-01-17
2062.5180578269305,1208.664436711074,2025-01-18
2203.8208727330584,1278.3288080733564,2025-01-19
1936.3065719417637,1269.2843694349833,2025-01-20
2133.5268075752274,1187.2681457918804,2025-01-21
1957.4235520576344,1085.1975295073921,2025-01-22
1952.7366745002003,1078.3370452802776,2025-01-23
2028.2624056681038,1250.6869899442945,2025-01-24
1987.733856892985,1099.7130355040817,2025-01-25
2212.0219262533637,1355.4817095335059,2025-01-26
2040.762407168278,1327.636077961446,2025-01-27
2101.5191276021587,1333.0971794429636,2025-01-28
2065.4383158737,1125.3648837062844,2025-01-29
1970.7098408794936,1274.4719373848534,2025-01-30
2012.9570812132747,1234.3170434215726,2025-01-31
2164.387308979829,1213.8202776011528,2025-02-01
2228.95424073422,1216.9321020217785,2025-02-02
1879.3211210345569,1177.0515666099031,2025-02-03
2202.983667129276,1254.8920506032757,2025-02-04
2271.1601132473115,1334.2590011997718,2025-02-05
2143.191495776673,1316.6146261515926,2025-02-06
2051.437270203087,1148.5636349354281,2025-02-07
2053.1718728369874,1275.8615125038518,2025-02-08
1949.2832077935154,1257.2870394507238,2025-02-09
1967.4085731234975,1266.7937841664366,2025-02-10
2246.889812401648,1228.4073071101086,2025-02-11
1840.2459313260094,965.6103732171614,2025-02-12
1930.605765448545,1319.5121051239266,2025-02-13
2275.8050133338393,1160.4624083335714,2025-02-14
2061.1666048586035,1269.536411662847,2025-02-15
1996.7378042747894,1163.9171814475033,2025-02-16
1688.080785236343,997.8934429516271,2025-02-17
1950.365283116447,1251.8738929876215,2025-02-18
1948.890095843899,1309.4518579350008,2025-02-19
2094.9547907143287,1112.3311327622775,2025-02-20
2123.7011348574765,1006.3482721823351,2025-02-21
1842.806053559206,1103.2730969859883,2025-02-22
2152.746054538688,1187.845804834758,2025-02-23
2137.099695369718,1105.040962500405,2025-02-24
1913.9673755642089,1182.539101931375,2025-02-25
1848.6987254041878,1257.9587902010874,2025-02-26
2370.406996457117,1331.1309634869128,2025-02-27
2041.2480980118196,1317.6896362860398,2025-02-28
1805.5127107899943,1104.1860360208857,2025-03-01
2060.8759469916386,1270.897062407564,2025-03-02
