Ingreso_Exportacion_USD,Gasto_Insumos_Importados_USD,Periodo_Contable
2078.947092025703,1151.1601843843544,2025-01-01
1954.5047785635004,1408.0060502924393,2025-01-02
1870.970801420575,1191.3042863671658,2025-01-03
2159.3970129073064,1336.378588909151,2025-01-04
2223.9605674333566,1242.040589502819,2025-01-05
2207.8027375681195,1405.9655017428065,2025-01-06
2277.800378665508,1303.242709686498,2025-01-07
2301.941176825463,1266.4014433481805,2025-01-08
2256.2580656563478,1506.2941202494105,2025-01-09
2198.0656522420654,1330.7160112973377,2025-01-10
2317.497978953488,1410.3678181451103,2025-01-11
1945.764298307964,1135.6889873560006,2025-01-12
1853.8779938407474,1231.8151891753625,2025-01-13
1844.3971642112829,1308.7875280326548,2025-01-14
2046.8386674379672,1290.1933511013103,2025-01-15
2077.0097736536773,1412.292557874439,2025-01-16
1981.8668198451671,1244.6351439921652,2025-01-17
2302.7389707695784,1236.0598016536885,2025-01-18
2149.0376215366796,1320.3995496205996,2025-01-19
2003.4468984306077,1293.0185267570348,2025-01-20
2022.685715388219,1213.5918913392977,2025-01-21
1913.9370875566913,1155.4123934832512,2025-01-22
2105.6691511271843,1191.0936431238072,2025-01-23
2247.3979564961705,1282.385371420364,2025-01-24
1934.1986008112137,1243.279660905515,2025-01-25
2312.6389294321816,1368.6118828709475,2025-01-26
2127.0170343205114,1270.1165162173024,2025-01-27
2054.799498647305,1150.969425325623,2025-01-28
2270.106947541049,1354.5130846387294,2025-01-29
2268.2882889547786,1273.578261527309,2025-01-30
1965.0919554635736,1212.9264338091175,2025-01-31
1934.8959953397023,1232.5068200701708,2025-02-01
2118.3619495317425,1365.2925960553723,2025-02-02
2032.1239060272335,1306.9994121225027,2025-02-03
2229.461500489153,1282.243494384145,2025-02-04
1888.929073937232,1051.8455992355919,2025-02-05
1954.8866401773087,1203.0074674038285,2025-02-06
1857.324888307247,1159.669394763304,2025-02-07
2070.603628156948,1235.3496943250152,2025-02-08
2139.8374009278164,1161.742828173848,2025-02-09
2141.039410210696,1135.8867262382828,2025-02-10
2002.1145828228302,1316.1219618916152,2025-02-11
2189.468049543475,1326.7089135351548,2025-02-12
1924.0130418799245,1267.653703864703,2025-02-13
2035.4669951983228,1250.203262813997,2025-02-14
2212.0086037638853,1306.9476238352995,2025-02-15
2114.4888354769796,1298.3366887655466,2025-02-16
2025.5138126619934,1229.3546287904635,2025-02-17
2288.787890071927,1328.7860409920952,2025-02-18
2367.89600416067,1302.4173078717013,2025-02-19
1992.8192086475335,1136.1257328005127,2025-02-20
2411.9852500623297,1309.8496314064228,2025-02-21
1994.861782667481,1261.1151232774,2025-02-22
1865.9200655734937,1155.931431809703,2025-02-23
1882.8254897929637,1336.8789988559165,2025-02-24
2392.615832498835,1274.2382566323897,2025-02-25
2137.85289853291,1228.5000682055936,2025-02-26
2009.5045965095824,1173.8593534984427,2025-02-27
2149.6871616428357,1388.772410154811,2025-02-28
1871.5020618425299,1206.1549620643466,2025-03-01
2171.1273627997152,1238.4788620603101,2025-03-02
1958.03002086625,1048.2199117582786,2025-03-03
1955.7555230957098,1188.2536474506728,2025-03-04
2025.7426051191721,1243.0700292874567,2025-03-05
1996.690433600965,1175.7364253984101,2025-03-06
2146.6945631090384,1359.822126413903,2025-03-07
1884.6105839951695,1136.8117417157905,2025-03-08
2068.1303848769517,1325.3379247128576,2025-03-09
2402.0783931146075,1512.2374159698024,2025-03-10
2200.428578707503,1210.5048596200306,2025-03-11
2292.9638711462994,1244.546923377354,2025-03-12
1909.190387277452,1292.4579311217583,2025-03-13
1868.3406745571767,1306.746465608278,2025-03-14
1901.7253236833026,1106.753607243699,2025-03-15
1964.6997633041271,1141.861417877486,2025-03-16
2106.9257705082805,1175.9612024878707,2025-03-17
1792.7072065253797,1069.6161608153748,2025-03-18
2084.000918761031,1085.1353763702457,2025-03-19
1926.4217650273113,1085.0022715909606,2025-03-20
2018.5844618167123,1175.339736078542,2025-03-21
1871.0063639160107,1180.555289874274,2025-03-22
1862.0087841802497,1235.2338494230175,2025-03-23
2158.5131031953915,1369.7576663046461,2025-03-24
2148.969986739118,1205.1145907530633,2025-03-25
1784.7631589702792,1227.0013412447574,2025-03-26
2050.2857624118033,1290.7570762328583,2025-03-27
2086.186666392805,1267.9019850208958,2025-03-28
2095.5178137110447,1211.1549560825913,2025-03-29
2179.7933833010115,1233.6337493374392,2025-03-30
2071.991044874324,1363.9759838064049,2025-03-31
1896.802979540608,1166.1425482265659,2025-04-01
1969.6348198767544,1237.5404072315648,2025-04-02
1912.4817836334141,1332.4357602691682,2025-04-03
2156.461404982499,1493.5585461734397,2025-04-04
1941.4889037538642,1127.7302153247338,2025-04-05
2042.8928996491904,1141.4836015005637,2025-04-06
2214.5608454715184,1167.947899472209,2025-04-07
2182.239547771633,1197.311657357294,2025-04-08
2089.5003009801203,1218.8425318368404,2025-04-09
1918.4671829752533,1312.5931867982563,2025-04-10
2319.2231309715876,1350.7726302271492,2025-04-11
2167.5366717482634,1251.3091935081306,2025-04-12
1914.2320502030038,1081.1150267586872,2025-04-13
1985.9404218094069,1230.7250028231565,2025-04-14
2169.480831136379,1245.6255694932784,2025-04-15
2198.8863519981255,1378.6279813347528,2025-04-16
2021.7209040524594,1263.6861045123937,2025-04-17
2031.5538257188211,1130.4843027059376,2025-04-18
1934.2348769473217,1286.306538487758,2025-04-19
2002.251851274833,1377.6268108805673,2025-04-20
2015.1314649915416,1202.826530716804,2025-04-21
1995.507699041345,1159.9026809684144,2025-04-22
1968.7374090901978,1219.4103097573625,2025-04-23
2182.4487559448867,1245.9862174509326,2025-04-24
1641.927938382903,1196.898493347149,2025-04-25
2121.8783931463586,1368.4529878737753,2025-04-26
2098.6153216985535,1170.2483032697505,2025-04-27
1807.2850500214552,1144.9106643942855,2025-04-28
1907.647986728703,1054.8045094408806,2025-04-29
2174.540461659384,1268.5363257600245,2025-04-30
1967.0061892721349,1262.0042574164463,2025-05-01
2059.9041429414838,1426.1761161017657,2025-05-02
2065.1523489659858,1264.3170561846475,2025-05-03
2249.6818139675324,1262.5758979062139,2025-05-04
2023.9899401453445,1156.9394288125388,2025-05-05
2215.142799135908,1347.863835657742,2025-05-06
2177.5615977116313,1465.3912288542742,2025-05-07
2047.9986388427926,1254.0727877450838,2025-05-08
1998.6288145524104,1191.493349306775,2025-05-09
1993.5905621012391,1250.324733752594,2025-05-10
1877.108786140359,1254.144259387837,2025-05-11
2098.378646756761,1363.983868302596,2025-05-12
2102.0384946502472,1322.3568755057136,2025-05-13
2062.2903258791594,1231.120076717507,2025-05-14
2095.729850884595,1262.0326988939325,2025-05-15
2289.7066682261466,1435.8644886931584,2025-05-16
2075.924570193002,1332.8512865607352,2025-05-17
2098.962357444023,1230.3995487531427,2025-05-18
1827.5175326571516,1246.7082944174172,2025-05-19
2015.0942594089424,1265.6440664643635,2025-05-20
2045.3953307314162,1302.223842243749,2025-05-21
1925.2838367094455,1225.639879391678,2025-05-22
1997.911760642169,1165.8096286254258,2025-05-23
1874.6719514043161,1211.6070803403738,2025-05-24
2053.083460273854,1272.929172332567,2025-05-25
2195.37768497495,1262.9658854925706,2025-05-26
1875.8095089296708,1186.3429512987768,2025-05-27
2188.4799089332782,1218.6802868235648,2025-05-28
1973.2045203921057,1228.4829195026143,2025-05-29
2102.9863862816565,1448.575658559391,2025-05-30
1783.550698406428,1178.8160948968832,2025-05-31
2099.8504548005735,1227.2645996520976,2025-06-01
2111.2717163967504,1234.8002997094336,2025-06-02
2378.4069122613296,1381.4567817199134,2025-06-03
1977.7822840438757,1363.2238693906347,2025-06-04
2159.9116262947327,1367.2199715438742,2025-06-05
1980.912402306785,1151.2641345556738,2025-06-06
2124.3538157865114,1297.9471023972455,2025-06-07
2170.78968751376,1355.1196524136533,2025-06-08
2134.780623990083,1383.1164699140033,2025-06-09
2096.3009710719803,1252.4150221977227,2025-06-10
2108.3228709827517,1221.1173317302867,2025-06-11
2180.745291483382,1350.2252367476299,2025-06-12
1980.495488141321,1194.2079170495886,2025-06-13
1976.9265115200997,1172.2579504808489,2025-06-14
2043.208191143639,1244.8688515413119,2025-06-15
2108.4438094287652,1332.4887195125173,2025-06-16
1813.8265670796154,1108.784819854282,2025-06-17
1805.37434644815,1174.7533071269827,2025-06-18
2188.043424256843,1212.220543717609,2025-06-19
2018.1072374468838,1296.216146494441,2025-06-20
2085.035043862646,1140.2050741160465,2025-06-21
1955.8703436525102,1127.7024224258553,2025-06-22
2103.1572061853535,1271.2163713946734,2025-06-23
2032.4303333621187,1377.08570317458,2025-06-24
1840.3077653476182,1145.6229218468707,2025-06-25
2037.3960228776402,1166.2709362852675,2025-06-26
1849.2078591671377,1318.7196477124317,2025-06-27
1963.006515236916,1037.4676317659814,2025-06-28
2076.227720912697,1171.987172272282,2025-06-29
2115.7394094737174,1242.8954634489583,2025-06-30
2230.7158042904266,1269.9092956812644,2025-07-01
2014.7272025987047,1111.7759121299334,2025-07-02
2236.7950511729264,1339.7840874509734,2025-07-03
2332.627195407648,1319.15190767853,2025-07-04
2209.9105657145583,1219.957845068709,2025-07-05
1880.964242859391,1136.6066477018617,2025-07-06
1916.186623277974,1296.283178233338,2025-07-07
1959.6220355204805,1265.2784302107218,2025-07-08
2227.9443055078227,1327.267051189693,2025-07-09
2242.4826947726174,1462.1610353192364,2025-07-10
2165.1850374179326,1257.0488699338753,2025-07-11
1962.1807046676486,1044.0604032579854,2025-07-12
2080.2653230859432,1238.1295242022657,2025-07-13
2167.2673795881683,1333.404614623978,2025-07-14
1822.765463473159,1197.526099840604,2025-07-15
1830.9503689672817,1134.665331518517,2025-07-16
2024.2237666898873,1323.799768072056,2025-07-17
2003.478264315236,1160.5161998325461,2025-07-18
2300.0042515261794,1432.285211445098,2025-07-19
