fecha,temperatura,precipitacion,humedad,radiacion_solar
2023-01-01,28.5,7.99,79.0,249.19
2023-01-02,27.91,11.81,75.57,250.78
2023-01-03,28.75,11.44,79.82,229.99
2023-01-04,29.68,12.56,73.58,259.1
2023-01-05,27.97,8.89,81.85,253.35
2023-01-06,28.02,13.56,80.27,259.79
2023-01-07,29.89,16.6,79.7,220.77
2023-01-08,29.13,22.04,81.95,270.52
2023-01-09,27.94,20.25,84.07,248.13
2023-01-10,29.01,26.88,82.19,260.48
2023-01-11,28.05,12.93,73.7,238.86
2023-01-12,28.1,21.78,75.44,255.23
2023-01-13,28.86,18.97,77.47,238.4
2023-01-14,26.75,29.63,79.48,242.51
2023-01-15,26.99,15.25,81.02,267.69
2023-01-16,28.21,15.7,77.34,246.43
2023-01-17,27.81,17.5,80.13,250.28
2023-01-18,29.18,10.46,77.35,256.56
2023-01-19,28.01,19.01,77.83,252.56
2023-01-20,27.55,18.4,75.49,248.84
2023-01-21,30.48,23.49,76.98,250.7
2023-01-22,28.84,24.97,75.73,270.78
2023-01-23,29.18,33.15,76.89,245.86
2023-01-24,27.74,29.02,83.01,248.12
2023-01-25,28.66,21.85,77.03,256.28
2023-01-26,29.37,20.7,87.8,256.47
2023-01-27,28.15,28.1,81.41,256.92
2023-01-28,29.72,19.46,80.5,251.05
2023-01-29,28.79,35.62,77.39,232.84
2023-01-30,29.15,32.74,82.08,260.2
2023-01-31,28.88,24.86,78.26,231.98
2023-02-01,31.38,18.98,80.36,246.04
2023-02-02,29.56,34.64,87.68,235.02
2023-02-03,28.56,27.59,79.71,241.46
2023-02-04,30.48,34.63,83.45,244.92
2023-02-05,28.48,20.73,77.88,244.36
2023-02-06,29.96,25.94,79.88,244.87
2023-02-07,27.83,29.17,85.29,256.28
2023-02-08,28.5,29.57,78.08,244.16
2023-02-09,30.07,27.25,85.38,236.65
2023-02-10,30.65,32.75,82.05,248.19
2023-02-11,30.12,24.42,78.22,249.89
2023-02-12,29.87,29.14,81.78,225.15
2023-02-13,29.73,30.53,82.77,242.82
2023-02-14,28.59,32.55,81.69,243.27
2023-02-15,29.38,33.56,75.08,232.68
2023-02-16,29.68,24.37,77.57,248.81
2023-02-17,31.23,22.3,78.97,232.93
2023-02-18,30.55,36.31,79.45,235.05
2023-02-19,28.48,31.52,81.49,231.43
2023-02-20,30.6,26.02,80.11,232.66
2023-02-21,29.93,37.4,75.52,220.88
2023-02-22,29.67,30.08,80.61,216.77
2023-02-23,30.99,35.23,81.25,246.44
2023-02-24,31.44,29.48,81.03,221.34
2023-02-25,31.37,39.24,82.53,219.2
2023-02-26,29.63,37.48,81.73,206.87
2023-02-27,30.19,27.2,80.54,221.3
2023-02-28,30.86,33.02,78.88,213.74
2023-03-01,31.53,31.09,74.03,242.66
2023-03-02,30.1,34.39,80.23,235.59
2023-03-03,30.42,22.38,79.48,217.87
2023-03-04,29.53,30.27,79.59,246.52
2023-03-05,29.46,31.75,74.86,233.05
2023-03-06,31.49,17.26,75.36,219.22
2023-03-07,32.06,19.72,81.68,196.7
2023-03-08,30.65,15.0,78.31,243.82
2023-03-09,31.75,23.39,80.38,206.23
2023-03-10,31.13,27.85,78.32,202.88
2023-03-11,30.14,31.28,78.23,228.76
2023-03-12,31.17,23.63,80.85,242.13
2023-03-13,32.36,30.88,76.38,230.76
2023-03-14,30.8,15.3,78.11,221.75
2023-03-15,32.42,13.13,76.33,221.23
2023-03-16,28.25,20.8,76.3,223.0
2023-03-17,31.71,22.41,76.57,221.22
2023-03-18,30.99,19.74,78.04,215.61
2023-03-19,30.61,8.96,75.82,213.01
